Program "PAW_protein_grouper.py" run on Tue Oct 28 14:22:31 2025


	=SUBTOTAL(109,B6:B7422)																								
3851	1	sp|Q8BHG1|NRDC_MOUSE	 	 	 	 	26.6	1161	132890	Nardilysin OS=Mus musculus OX=10090 GN=Nrdc PE=1 SV=1	122	122	1.000	32	39	29	22	32	39	29	22	32.000	39.000	29.000	22.000
3852	1	sp|Q8BHG2|CZIB_MOUSE	 	 	 	 	54.4	160	18020	CXXC motif containing zinc binding protein OS=Mus musculus OX=10090 GN=Czib PE=1 SV=1	45	45	1.000	15	10	9	11	15	10	9	11	15.000	10.000	9.000	11.000
3853	1	sp|Q8BHG3|CC50B_MOUSE	 	 	sp|Q8BHG3|CC50B_MOUSE, sp|Q8VEK0|CC50A_MOUSE	 	10.2	353	39218	Cell cycle control protein 50B OS=Mus musculus OX=10090 GN=Tmem30b PE=2 SV=1	14	2	0.143	5	4	3	2	1	0	1	0	1.250	0.000	1.182	0.000
3854	1	sp|Q8BHG9|CGBP1_MOUSE	 	 	 	 	28.7	167	18761	CGG triplet repeat-binding protein 1 OS=Mus musculus OX=10090 GN=Cggbp1 PE=1 SV=1	14	14	1.000	6	2	3	3	6	2	3	3	6.000	2.000	3.000	3.000
3855	1	sp|Q8BHI7|ELOV5_MOUSE	 	 	 	 	8.4	299	35332	Very long chain fatty acid elongase 5 OS=Mus musculus OX=10090 GN=Elovl5 PE=1 SV=1	43	43	1.000	10	9	13	11	10	9	13	11	10.000	9.000	13.000	11.000
3856	1	sp|Q8BHJ5|TBL1R_MOUSE	 	 	sp|Q8BHJ5|TBL1R_MOUSE, sp|Q9QXE7|TBL1X_MOUSE	 	21.0	514	55660	F-box-like/WD repeat-containing protein TBL1XR1 OS=Mus musculus OX=10090 GN=Tbl1xr1 PE=1 SV=1	29	12	0.414	8	9	7	5	3	5	1	3	8.000	9.000	1.857	4.200
3857	1	sp|Q8BHJ9|SLU7_MOUSE	 	 	 	 	12.1	585	68079	Pre-mRNA-splicing factor SLU7 OS=Mus musculus OX=10090 GN=Slu7 PE=1 SV=1	12	12	1.000	2	4	2	4	2	4	2	4	2.000	4.000	2.000	4.000
3858	1	sp|Q8BHL3|TB10B_MOUSE	 	 	 	 	7.9	798	87274	TBC1 domain family member 10B OS=Mus musculus OX=10090 GN=Tbc1d10b PE=1 SV=2	11	11	1.000	3	4	3	1	3	4	3	1	3.000	4.000	3.000	1.000
3859	1	sp|Q8BHL5|ELMO2_MOUSE	 	 	sp|Q8BHL5|ELMO2_MOUSE, sp|Q8BPU7|ELMO1_MOUSE	 	13.4	732	83886	Engulfment and cell motility protein 2 OS=Mus musculus OX=10090 GN=Elmo2 PE=1 SV=1	28	14	0.500	9	6	4	9	5	3	2	4	7.500	4.800	3.000	6.222
3860	1	sp|Q8BHL8|PSMF1_MOUSE	 	 	 	 	19.6	271	29664	Proteasome inhibitor PI31 subunit OS=Mus musculus OX=10090 GN=Psmf1 PE=1 SV=1	25	25	1.000	8	6	6	5	8	6	6	5	8.000	6.000	6.000	5.000
3861	1	sp|Q8BHN0|PPM1L_MOUSE	 	 	 	 	19.4	360	41049	Protein phosphatase 1L OS=Mus musculus OX=10090 GN=Ppm1l PE=1 SV=1	10	10	1.000	2	3	4	1	2	3	4	1	2.000	3.000	4.000	1.000
3862	1	sp|Q8BHN1|TXLNG_MOUSE	 	 	 	 	28.2	524	60308	Gamma-taxilin OS=Mus musculus OX=10090 GN=Txlng PE=1 SV=1	46	46	1.000	13	12	7	14	13	12	7	14	13.000	12.000	7.000	14.000
3863	1	sp|Q8BHN3|GANAB_MOUSE	 	 	 	 	44.5	944	106910	Neutral alpha-glucosidase AB OS=Mus musculus OX=10090 GN=Ganab PE=1 SV=1	338	338	1.000	93	97	83	65	93	97	83	65	93.000	97.000	83.000	65.000
3864	1	sp|Q8BHN5|RBM45_MOUSE	 	 	 	 	7.4	476	53324	RNA-binding protein 45 OS=Mus musculus OX=10090 GN=Rbm45 PE=1 SV=1	4	4	1.000	2	0	0	2	2	0	0	2	2.000	0.000	0.000	2.000
3865	1	sp|Q8BHN7|RLIG1_MOUSE	 	 	 	 	8.6	327	37417	RNA ligase 1 OS=Mus musculus OX=10090 GN=Rlig1 PE=2 SV=1	7	7	1.000	2	1	2	2	2	1	2	2	2.000	1.000	2.000	2.000
3866	1	sp|Q8BHS3|RBM22_MOUSE	 	 	 	 	16.9	420	46895	Pre-mRNA-splicing factor RBM22 OS=Mus musculus OX=10090 GN=Rbm22 PE=1 SV=1	33	33	1.000	8	6	6	13	8	6	6	13	8.000	6.000	6.000	13.000
3867	1	sp|Q8BHT7|RGP1_MOUSE	 	 	 	 	12.8	391	42498	RAB6A-GEF complex partner protein 2 OS=Mus musculus OX=10090 GN=Rgp1 PE=2 SV=1	11	11	1.000	3	2	3	3	3	2	3	3	3.000	2.000	3.000	3.000
3868	1	sp|Q8BHY2|NOC4L_MOUSE	 	 	sp|Q3UVV9|VWA3A_MOUSE, sp|Q8BHY2|NOC4L_MOUSE	 	12.0	516	58675	Nucleolar complex protein 4 homolog OS=Mus musculus OX=10090 GN=Noc4l PE=2 SV=1	15	13	0.867	5	3	6	1	4	3	5	1	4.800	3.000	6.000	1.000
3869	1	sp|Q8BHY8|SNX14_MOUSE	 	 	 	 	7.4	964	111864	Sorting nexin-14 OS=Mus musculus OX=10090 GN=Snx14 PE=1 SV=2	19	19	1.000	5	6	4	4	5	6	4	4	5.000	6.000	4.000	4.000
3870	1	sp|Q8BHZ0|CYRIA_MOUSE	 	 	sp|Q8BHZ0|CYRIA_MOUSE, sp|Q921M7|CYRIB_MOUSE	 	14.6	323	37342	CYFIP-related Rac1 interactor A OS=Mus musculus OX=10090 GN=Cyria PE=1 SV=1	8	3	0.375	1	5	1	1	0	1	1	1	0.000	1.500	1.000	1.000
3871	1	sp|Q8BHZ4|ZN592_MOUSE	 	 	 	 	4.4	1262	137513	Zinc finger protein 592 OS=Mus musculus OX=10090 GN=Znf592 PE=1 SV=3	12	12	1.000	3	3	3	3	3	3	3	3	3.000	3.000	3.000	3.000
3872	1	sp|Q8BI22|CE128_MOUSE	 	 	 	 	1.5	1102	128502	Centrosomal protein of 128 kDa OS=Mus musculus OX=10090 GN=Cep128 PE=1 SV=2	4	4	1.000	1	2	0	1	1	2	0	1	1.000	2.000	0.000	1.000
3873	1	sp|Q8BI72|CARF_MOUSE	 	 	 	 	36.1	563	59744	CDKN2A-interacting protein OS=Mus musculus OX=10090 GN=Cdkn2aip PE=1 SV=1	55	55	1.000	12	14	19	10	12	14	19	10	12.000	14.000	19.000	10.000
3874	1	sp|Q8BI84|TGO1_MOUSE	 	 	 	 	32.8	1930	213672	Transport and Golgi organization protein 1 homolog OS=Mus musculus OX=10090 GN=Mia3 PE=1 SV=2	300	300	1.000	81	83	64	72	81	83	64	72	81.000	83.000	64.000	72.000
3875	1	sp|Q8BIF0|C99L2_MOUSE	 	 	 	 	26.2	237	25463	CD99 antigen-like protein 2 OS=Mus musculus OX=10090 GN=Cd99l2 PE=1 SV=1	9	9	1.000	2	3	2	2	2	3	2	2	2.000	3.000	2.000	2.000
3876	1	sp|Q8BIF2|RFOX3_MOUSE (+2)	sp|Q8BIF2|RFOX3_MOUSE&sp|Q8BP71|RFOX2_MOUSE&sp|Q9JJ43|RFOX1_MOUSE	 	 	 	4.8	374	40610	RNA binding protein fox-1 homolog 3 OS=Mus musculus OX=10090 GN=Rbfox3 PE=1 SV=2	5	5	1.000	1	1	1	2	1	1	1	2	1.000	1.000	1.000	2.000
3877	1	sp|Q8BIF9|ZN787_MOUSE	 	 	 	 	9.2	381	40477	Zinc finger protein 787 OS=Mus musculus OX=10090 GN=Znf787 PE=2 SV=3	6	6	1.000	1	2	2	1	1	2	2	1	1.000	2.000	2.000	1.000
3878	1	sp|Q8BIG7|CMTD1_MOUSE	 	 	 	 	20.6	262	28961	Catechol O-methyltransferase domain-containing protein 1 OS=Mus musculus OX=10090 GN=Comtd1 PE=1 SV=1	10	10	1.000	3	2	3	2	3	2	3	2	3.000	2.000	3.000	2.000
3879	1	sp|Q8BIH0|SP130_MOUSE	 	 	 	 	3.9	1057	111227	Histone deacetylase complex subunit SAP130 OS=Mus musculus OX=10090 GN=Sap130 PE=1 SV=2	6	6	1.000	1	1	1	3	1	1	1	3	1.000	1.000	1.000	3.000
3880	1	sp|Q8BIJ6|SYIM_MOUSE	 	 	 	 	36.3	1012	112803	Isoleucine--tRNA ligase, mitochondrial OS=Mus musculus OX=10090 GN=Iars2 PE=1 SV=1	249	249	1.000	72	72	61	44	72	72	61	44	72.000	72.000	61.000	44.000
3881	1	sp|Q8BIJ7|RUFY1_MOUSE	 	 	sp|Q8BIJ7|RUFY1_MOUSE, sp|Q8R4C2|RUFY2_MOUSE, sp|Q9D394|RUFY3_MOUSE	 	29.6	712	80376	RUN and FYVE domain-containing protein 1 OS=Mus musculus OX=10090 GN=Rufy1 PE=1 SV=1	60	58	0.967	16	18	14	12	16	17	13	12	16.000	17.944	13.542	12.000
3882	1	sp|Q8BIK4|DOCK9_MOUSE	 	 	sp|A2AF47|DOC11_MOUSE, sp|Q8BIK4|DOCK9_MOUSE	 	10.4	2055	235310	Dedicator of cytokinesis protein 9 OS=Mus musculus OX=10090 GN=Dock9 PE=1 SV=2	40	36	0.900	8	12	8	12	7	11	7	11	8.000	12.000	7.778	11.917
3883	1	sp|Q8BIL5|HOOK1_MOUSE	 	 	 	 	14.3	728	84438	Protein Hook homolog 1 OS=Mus musculus OX=10090 GN=Hook1 PE=1 SV=2	14	14	1.000	6	2	1	5	6	2	1	5	6.000	2.000	1.000	5.000
3884	1	sp|Q8BIP0|SYDM_MOUSE	 	 	 	 	16.4	653	74101	Aspartate--tRNA ligase, mitochondrial OS=Mus musculus OX=10090 GN=Dars2 PE=1 SV=1	23	23	1.000	6	6	7	4	6	6	7	4	6.000	6.000	7.000	4.000
3885	1	sp|Q8BIQ5|CSTF2_MOUSE	 	 	sp|Q8BIQ5|CSTF2_MOUSE, sp|Q8C7E9|CSTFT_MOUSE	 	26.6	580	61341	Cleavage stimulation factor subunit 2 OS=Mus musculus OX=10090 GN=Cstf2 PE=1 SV=2	59	26	0.441	19	20	8	12	10	8	4	4	18.182	18.667	5.600	12.000
3886	1	sp|Q8BIV3|RNBP6_MOUSE	 	 	sp|Q8BIV3|RNBP6_MOUSE, sp|Q8BKC5|IPO5_MOUSE	 	2.6	1105	124586	Ran-binding protein 6 OS=Mus musculus OX=10090 GN=Ranbp6 PE=1 SV=3	8	2	0.250	3	3	1	1	1	1	0	0	1.048	1.041	0.000	0.000
3887	1	sp|Q8BIW1|PRUN1_MOUSE	 	 	 	 	18.9	454	50239	Exopolyphosphatase PRUNE1 OS=Mus musculus OX=10090 GN=Prune1 PE=1 SV=1	34	34	1.000	13	8	6	7	13	8	6	7	13.000	8.000	6.000	7.000
3888	1	sp|Q8BIX3|AL14E_MOUSE	 	 	 	 	5.8	276	31010	ARL14 effector protein OS=Mus musculus OX=10090 GN=Arl14ep PE=1 SV=1	2	2	1.000	0	0	2	0	0	0	2	0	0.000	0.000	2.000	0.000
3889	1	sp|Q8BIZ6|SNIP1_MOUSE	 	 	 	 	5.0	383	44415	Smad nuclear-interacting protein 1 OS=Mus musculus OX=10090 GN=Snip1 PE=1 SV=1	2	2	1.000	0	2	0	0	0	2	0	0	0.000	2.000	0.000	0.000
3890	1	sp|Q8BJ03|COX15_MOUSE	 	 	 	 	17.7	413	45852	Heme A synthase COX15 OS=Mus musculus OX=10090 GN=Cox15 PE=1 SV=1	33	33	1.000	5	9	10	9	5	9	10	9	5.000	9.000	10.000	9.000
3891	1	sp|Q8BJ05|ZC3HE_MOUSE	 	 	 	 	17.6	735	82408	Zinc finger CCCH domain-containing protein 14 OS=Mus musculus OX=10090 GN=Zc3h14 PE=1 SV=1	24	24	1.000	5	4	8	7	5	4	8	7	5.000	4.000	8.000	7.000
3892	1	sp|Q8BJ34|MARF1_MOUSE	 	 	sp|Q8BJ34|MARF1_MOUSE, sp|Q9NYQ2|HAOX2_MOUSE	 	6.6	1730	192062	Meiosis regulator and mRNA stability factor 1 OS=Mus musculus OX=10090 GN=Marf1 PE=1 SV=3	33	18	0.545	8	12	7	6	4	7	4	3	4.571	8.061	4.500	3.346
3893	1	sp|Q8BJ48|NAGPA_MOUSE	 	 	 	 	7.2	517	56043	N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase OS=Mus musculus OX=10090 GN=Nagpa PE=1 SV=2	5	5	1.000	1	1	1	2	1	1	1	2	1.000	1.000	1.000	2.000
3894	1	sp|Q8BJ64|CHDH_MOUSE	 	 	 	 	54.0	596	66414	Choline dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Chdh PE=1 SV=1	409	409	1.000	105	124	86	94	105	124	86	94	105.000	124.000	86.000	94.000
3895	1	sp|Q8BJ71|NUP93_MOUSE	 	 	 	 	39.9	819	93280	Nuclear pore complex protein Nup93 OS=Mus musculus OX=10090 GN=Nup93 PE=1 SV=1	158	158	1.000	43	44	37	34	43	44	37	34	43.000	44.000	37.000	34.000
3896	1	sp|Q8BJ90|ZN771_MOUSE	 	 	 	 	6.9	317	35767	Zinc finger protein 771 OS=Mus musculus OX=10090 GN=Znf771 PE=2 SV=1	7	7	1.000	1	3	2	1	1	3	2	1	1.000	3.000	2.000	1.000
3897	1	sp|Q8BJA3|HMBX1_MOUSE	 	 	sp|P22361|HNF1A_MOUSE, sp|Q8BJA3|HMBX1_MOUSE	 	4.5	419	47115	Homeobox-containing protein 1 OS=Mus musculus OX=10090 GN=Hmbox1 PE=1 SV=1	6	2	0.333	1	2	3	0	0	1	1	0	0.000	1.500	3.000	0.000
3898	1	sp|Q8BJF9|CHM2B_MOUSE	 	 	 	 	39.4	213	23934	Charged multivesicular body protein 2b OS=Mus musculus OX=10090 GN=Chmp2b PE=1 SV=1	55	55	1.000	10	14	15	16	10	14	15	16	10.000	14.000	15.000	16.000
3899	1	sp|Q8BJL0|SMAL1_MOUSE	 	 	 	 	11.1	910	100839	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like protein 1 OS=Mus musculus OX=10090 GN=Smarcal1 PE=1 SV=1	17	17	1.000	4	4	4	5	4	4	4	5	4.000	4.000	4.000	5.000
3900	1	sp|Q8BJL1|FBX30_MOUSE	 	 	 	 	9.4	746	82687	F-box only protein 30 OS=Mus musculus OX=10090 GN=Fbxo30 PE=1 SV=2	15	15	1.000	2	3	5	5	2	3	5	5	2.000	3.000	5.000	5.000
3901	1	sp|Q8BJM7|TYW1_MOUSE	 	 	 	 	11.7	721	81598	S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase TYW1 OS=Mus musculus OX=10090 GN=Tyw1 PE=1 SV=1	23	23	1.000	7	3	6	7	7	3	6	7	7.000	3.000	6.000	7.000
3902	1	sp|Q8BJS4|SUN2_MOUSE	 	 	 	 	22.4	731	81604	SUN domain-containing protein 2 OS=Mus musculus OX=10090 GN=Sun2 PE=1 SV=3	32	32	1.000	7	8	11	6	7	8	11	6	7.000	8.000	11.000	6.000
3903	1	sp|Q8BJT9|EDEM2_MOUSE	 	 	 	 	10.1	577	64609	ER degradation-enhancing alpha-mannosidase-like protein 2 OS=Mus musculus OX=10090 GN=Edem2 PE=1 SV=1	11	11	1.000	5	0	2	4	5	0	2	4	5.000	0.000	2.000	4.000
3904	1	sp|Q8BJU0|SGTA_MOUSE	 	 	 	 	40.6	315	34322	Small glutamine-rich tetratricopeptide repeat-containing protein alpha OS=Mus musculus OX=10090 GN=Sgta PE=1 SV=2	70	70	1.000	16	21	14	19	16	21	14	19	16.000	21.000	14.000	19.000
3905	1	sp|Q8BJU2|TSN9_MOUSE	 	 	 	 	18.4	239	26738	Tetraspanin-9 OS=Mus musculus OX=10090 GN=Tspan9 PE=1 SV=1	29	29	1.000	7	9	8	5	7	9	8	5	7.000	9.000	8.000	5.000
3906	1	sp|Q8BJW5|NOL11_MOUSE	 	 	 	 	8.7	723	80817	Nucleolar protein 11 OS=Mus musculus OX=10090 GN=Nol11 PE=2 SV=1	10	10	1.000	2	1	1	6	2	1	1	6	2.000	1.000	1.000	6.000
3907	1	sp|Q8BJW6|EIF2A_MOUSE	 	 	 	 	40.8	581	64403	Eukaryotic translation initiation factor 2A OS=Mus musculus OX=10090 GN=Eif2a PE=1 SV=2	128	128	1.000	36	35	21	36	36	35	21	36	36.000	35.000	21.000	36.000
3908	1	sp|Q8BJY1|PSMD5_MOUSE	 	 	 	 	41.1	504	55971	26S proteasome non-ATPase regulatory subunit 5 OS=Mus musculus OX=10090 GN=Psmd5 PE=1 SV=4	118	118	1.000	36	24	28	30	36	24	28	30	36.000	24.000	28.000	30.000
3909	1	sp|Q8BJZ4|RT35_MOUSE	 	 	 	 	47.2	320	35975	Small ribosomal subunit protein mS35 OS=Mus musculus OX=10090 GN=Mrps35 PE=1 SV=2	46	46	1.000	10	14	12	10	10	14	12	10	10.000	14.000	12.000	10.000
3910	1	sp|Q8BK03|MIGA2_MOUSE	 	 	 	 	25.8	593	65547	Mitoguardin 2 OS=Mus musculus OX=10090 GN=Miga2 PE=1 SV=1	45	45	1.000	14	12	8	11	14	12	8	11	14.000	12.000	8.000	11.000
3911	1	sp|Q8BK06|FBX9_MOUSE	 	 	 	 	17.8	437	50759	F-box only protein 9 OS=Mus musculus OX=10090 GN=Fbxo9 PE=1 SV=1	13	13	1.000	3	2	3	5	3	2	3	5	3.000	2.000	3.000	5.000
3912	1	sp|Q8BK08|TMM11_MOUSE	 	 	 	 	34.7	190	21311	Transmembrane protein 11, mitochondrial OS=Mus musculus OX=10090 GN=Tmem11 PE=1 SV=1	29	29	1.000	7	6	7	9	7	6	7	9	7.000	6.000	7.000	9.000
3913	1	sp|Q8BK30|NDUV3_MOUSE	 	 	 	 	26.9	104	11813	NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial OS=Mus musculus OX=10090 GN=Ndufv3 PE=1 SV=1	16	16	1.000	5	2	4	5	5	2	4	5	5.000	2.000	4.000	5.000
3914	1	sp|Q8BK35|NOP53_MOUSE	 	 	 	 	5.8	484	55792	Ribosome biogenesis protein NOP53 OS=Mus musculus OX=10090 GN=Nop53 PE=1 SV=1	4	4	1.000	0	0	1	3	0	0	1	3	0.000	0.000	1.000	3.000
3915	1	sp|Q8BK48|EST2E_MOUSE	 	 	sp|Q8BK48|EST2E_MOUSE, sp|Q8QZR3|EST2A_MOUSE, sp|Q91WG0|EST2C_MOUSE, tr|E9PV38|E9PV38_MOUSE, tr|F6Z9B9|F6Z9B9_MOUSE, tr|Q6PDB7|Q6PDB7_MOUSE	 	41.7	559	62317	Pyrethroid hydrolase Ces2e OS=Mus musculus OX=10090 GN=Ces2e PE=1 SV=1	315	242	0.768	100	88	56	71	78	68	42	54	89.097	79.972	48.918	64.257
3916	1	sp|Q8BK58|HBAP1_MOUSE	 	 	 	 	5.4	483	54395	HSPB1-associated protein 1 OS=Mus musculus OX=10090 GN=Hspbap1 PE=1 SV=2	2	2	1.000	2	0	0	0	2	0	0	0	2.000	0.000	0.000	0.000
3917	1	sp|Q8BK63|KC1A_MOUSE	 	 	sp|Q8BK63|KC1A_MOUSE, sp|Q9DC28|KC1D_MOUSE	 	24.0	337	38914	Casein kinase I isoform alpha OS=Mus musculus OX=10090 GN=Csnk1a1 PE=1 SV=2	50	42	0.840	10	13	16	11	9	12	12	9	9.529	12.667	14.526	10.125
3918	1	sp|Q8BK64|AHSA1_MOUSE	 	 	 	 	61.5	338	38117	Activator of 90 kDa heat shock protein ATPase homolog 1 OS=Mus musculus OX=10090 GN=Ahsa1 PE=1 SV=2	188	188	1.000	59	52	43	34	59	52	43	34	59.000	52.000	43.000	34.000
3919	1	sp|Q8BK67|RCC2_MOUSE	 	 	 	 	33.7	520	55983	Protein RCC2 OS=Mus musculus OX=10090 GN=Rcc2 PE=1 SV=1	39	39	1.000	15	9	6	9	15	9	6	9	15.000	9.000	6.000	9.000
3920	1	sp|Q8BK72|RT27_MOUSE	 	 	 	 	33.3	415	47778	Small ribosomal subunit protein mS27 OS=Mus musculus OX=10090 GN=Mrps27 PE=1 SV=2	54	54	1.000	21	12	15	6	21	12	15	6	21.000	12.000	15.000	6.000
3921	1	sp|Q8BK75|ELP6_MOUSE	 	 	 	 	15.4	266	29326	Elongator complex protein 6 OS=Mus musculus OX=10090 GN=Elp6 PE=1 SV=1	11	11	1.000	3	1	4	3	3	1	4	3	3.000	1.000	4.000	3.000
3922	1	sp|Q8BKC5|IPO5_MOUSE	 	 	sp|Q8BIV3|RNBP6_MOUSE, sp|Q8BKC5|IPO5_MOUSE	 	33.8	1097	123590	Importin-5 OS=Mus musculus OX=10090 GN=Ipo5 PE=1 SV=3	165	159	0.964	43	50	32	40	41	48	31	39	42.952	49.959	32.000	40.000
3923	1	sp|Q8BKC8|PI4KB_MOUSE	 	 	 	 	6.7	816	91514	Phosphatidylinositol 4-kinase beta OS=Mus musculus OX=10090 GN=Pi4kb PE=1 SV=2	13	13	1.000	4	3	3	3	4	3	3	3	4.000	3.000	3.000	3.000
3924	1	sp|Q8BKE6|CP20A_MOUSE	 	 	 	 	30.3	462	52149	Cytochrome P450 20A1 OS=Mus musculus OX=10090 GN=Cyp20a1 PE=1 SV=1	47	47	1.000	17	10	11	9	17	10	11	9	17.000	10.000	11.000	9.000
3925	1	sp|Q8BKF1|RPOM_MOUSE	 	 	 	 	15.3	1207	136703	DNA-directed RNA polymerase, mitochondrial OS=Mus musculus OX=10090 GN=Polrmt PE=1 SV=1	33	33	1.000	12	4	10	7	12	4	10	7	12.000	4.000	10.000	7.000
3926	1	sp|Q8BKH7|SIN1_MOUSE	 	 	 	 	12.8	522	59008	Target of rapamycin complex 2 subunit MAPKAP1 OS=Mus musculus OX=10090 GN=Mapkap1 PE=1 SV=1	9	9	1.000	0	4	2	3	0	4	2	3	0.000	4.000	2.000	3.000
3927	1	sp|Q8BKI2|TNR6B_MOUSE	 	 	 	 	11.9	1810	191961	Trinucleotide repeat-containing gene 6B protein OS=Mus musculus OX=10090 GN=Tnrc6b PE=1 SV=2	39	39	1.000	13	6	8	12	13	6	8	12	13.000	6.000	8.000	12.000
3928	1	sp|Q8BKJ9|SIR7_MOUSE	 	 	 	 	10.7	402	45145	NAD-dependent protein deacetylase sirtuin-7 OS=Mus musculus OX=10090 GN=Sirt7 PE=1 SV=2	5	5	1.000	1	1	2	1	1	1	2	1	1.000	1.000	2.000	1.000
3929	1	sp|Q8BKR5|PPR37_MOUSE	 	 	 	 	15.2	712	77573	Protein phosphatase 1 regulatory subunit 37 OS=Mus musculus OX=10090 GN=Ppp1r37 PE=1 SV=1	19	19	1.000	4	5	6	4	4	5	6	4	4.000	5.000	6.000	4.000
3930	1	sp|Q8BKS9|PUM3_MOUSE	 	 	 	 	10.5	647	72799	Pumilio homolog 3 OS=Mus musculus OX=10090 GN=Pum3 PE=1 SV=2	18	18	1.000	4	3	7	4	4	3	7	4	4.000	3.000	7.000	4.000
3931	1	sp|Q8BKT3|GCFC2_MOUSE	 	 	 	 	5.7	769	87441	Intron Large complex component GCFC2 OS=Mus musculus OX=10090 GN=Gcfc2 PE=1 SV=2	6	6	1.000	1	1	3	1	1	1	3	1	1.000	1.000	3.000	1.000
3932	1	sp|Q8BKT7|THOC5_MOUSE	 	 	 	 	12.7	683	78685	THO complex subunit 5 homolog OS=Mus musculus OX=10090 GN=Thoc5 PE=1 SV=2	20	20	1.000	5	4	8	3	5	4	8	3	5.000	4.000	8.000	3.000
3933	1	sp|Q8BKT8|HAUS7_MOUSE	 	 	 	 	7.4	364	40656	HAUS augmin-like complex subunit 7 OS=Mus musculus OX=10090 GN=Haus7 PE=1 SV=2	6	6	1.000	1	1	2	2	1	1	2	2	1.000	1.000	2.000	2.000
3934	1	sp|Q8BKU8|TM87B_MOUSE	 	 	 	 	7.6	555	62898	Transmembrane protein 87B OS=Mus musculus OX=10090 GN=Tmem87b PE=2 SV=1	10	10	1.000	3	2	1	4	3	2	1	4	3.000	2.000	1.000	4.000
3935	1	sp|Q8BKX1|BAIP2_MOUSE	 	 	 	 	43.2	535	59236	BAR/IMD domain-containing adapter protein 2 OS=Mus musculus OX=10090 GN=Baiap2 PE=1 SV=2	95	95	1.000	27	28	18	22	27	28	18	22	27.000	28.000	18.000	22.000
3936	1	sp|Q8BKX6|SMG1_MOUSE	 	 	 	 	2.8	3658	409765	Serine/threonine-protein kinase SMG1 OS=Mus musculus OX=10090 GN=Smg1 PE=1 SV=3	19	19	1.000	6	3	5	5	6	3	5	5	6.000	3.000	5.000	5.000
3937	1	sp|Q8BKY8|MTEF2_MOUSE	 	 	 	 	15.1	385	43452	Transcription termination factor 2, mitochondrial OS=Mus musculus OX=10090 GN=Mterf2 PE=1 SV=1	9	9	1.000	2	2	3	2	2	2	3	2	2.000	2.000	3.000	2.000
3938	1	sp|Q8BKZ9|ODPX_MOUSE	 	 	 	 	24.8	501	53998	Pyruvate dehydrogenase protein X component, mitochondrial OS=Mus musculus OX=10090 GN=Pdhx PE=1 SV=1	99	99	1.000	31	22	25	21	31	22	25	21	31.000	22.000	25.000	21.000
3939	1	sp|Q8BL03|S2529_MOUSE	 	 	 	 	6.2	306	32672	Mitochondrial basic amino acids transporter OS=Mus musculus OX=10090 GN=Slc25a29 PE=1 SV=1	5	5	1.000	2	1	1	1	2	1	1	1	2.000	1.000	1.000	1.000
3940	1	sp|Q8BL48|UNK_MOUSE	 	 	 	 	4.7	810	88057	RING finger protein unkempt homolog OS=Mus musculus OX=10090 GN=Unk PE=1 SV=1	5	5	1.000	3	0	0	2	3	0	0	2	3.000	0.000	0.000	2.000
3941	1	sp|Q8BL66|EEA1_MOUSE	 	 	 	 	51.0	1411	160913	Early endosome antigen 1 OS=Mus musculus OX=10090 GN=Eea1 PE=1 SV=2	305	305	1.000	89	76	67	73	89	76	67	73	89.000	76.000	67.000	73.000
3942	1	sp|Q8BL74|TF3C2_MOUSE	 	 	 	 	7.4	907	100273	General transcription factor 3C polypeptide 2 OS=Mus musculus OX=10090 GN=Gtf3c2 PE=2 SV=2	9	9	1.000	3	3	2	1	3	3	2	1	3.000	3.000	2.000	1.000
3943	1	sp|Q8BL86|MBLC2_MOUSE	 	 	 	 	15.1	279	31205	Acyl-coenzyme A thioesterase MBLAC2 OS=Mus musculus OX=10090 GN=Mblac2 PE=1 SV=2	7	7	1.000	1	2	1	3	1	2	1	3	1.000	2.000	1.000	3.000
3944	1	sp|Q8BL97|SRSF7_MOUSE	 	 	sp|P84104|SRSF3_MOUSE, sp|Q8BL97|SRSF7_MOUSE	 	32.2	267	30817	Serine/arginine-rich splicing factor 7 OS=Mus musculus OX=10090 GN=Srsf7 PE=1 SV=1	41	39	0.951	14	7	11	9	14	6	10	9	14.000	6.171	10.312	9.000
3945	1	sp|Q8BL99|DOP1A_MOUSE	 	 	sp|Q3UHQ6|DOP1B_MOUSE, sp|Q8BL99|DOP1A_MOUSE	 	1.4	2399	269254	Protein DOP1A OS=Mus musculus OX=10090 GN=Dop1a PE=1 SV=2	9	4	0.444	2	1	4	2	1	0	2	1	1.071	0.000	2.222	1.059
3946	1	sp|Q8BLF1|NCEH1_MOUSE	 	 	 	 	20.3	408	45739	Neutral cholesterol ester hydrolase 1 OS=Mus musculus OX=10090 GN=Nceh1 PE=1 SV=1	47	47	1.000	15	19	7	6	15	19	7	6	15.000	19.000	7.000	6.000
3947	1	sp|Q8BLK9|KS6C1_MOUSE	 	 	 	 	4.8	1056	115711	Ribosomal protein S6 kinase delta-1 OS=Mus musculus OX=10090 GN=Rps6kc1 PE=1 SV=2	8	8	1.000	2	0	2	4	2	0	2	4	2.000	0.000	2.000	4.000
