PAW protein_summary_9 results file
written: Sat Nov  8 16:01:30 2025

 	=subtotal(109,B6:B8622)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	x
4071.0	1	sp|Q7TSC1|PRC2A_MOUSE	 	27.1	2158	229200	Protein PRRC2A OS=Mus musculus OX=10090 GN=Prrc2a PE=1 SV=1	193	175	0.907	12	17	19	8	18	18	18	16	12	15	21	19	12	15	17	8	17	16	15	13	11	14	19	18	12.000	15.647	17.759	8.000	17.370	16.692	15.922	13.812	11.268	14.326	19.840	18.391	sp|Q3TLH4|PRC2C_MOUSE, sp|Q7TPM1|PRC2B_MOUSE, sp|Q7TSC1|PRC2A_MOUSE
4072.0	1	sp|Q7TSE6|ST38L_MOUSE	 	40.5	464	53771	Serine/threonine-protein kinase 38-like OS=Mus musculus OX=10090 GN=Stk38l PE=1 SV=2	80	58	0.725	4	12	6	9	7	5	7	6	7	8	4	5	4	11	3	5	5	3	5	5	6	5	3	3	4.000	11.579	3.900	6.667	5.714	3.462	5.909	5.385	6.400	6.000	3.250	3.375	sp|Q7TSE6|ST38L_MOUSE, sp|Q91VJ4|STK38_MOUSE
4073.0	1	sp|Q7TSG2|CTDP1_MOUSE	 	29.9	960	104553	RNA polymerase II subunit A C-terminal domain phosphatase OS=Mus musculus OX=10090 GN=Ctdp1 PE=1 SV=1	79	79	1.000	10	5	3	7	8	6	7	4	6	5	8	10	10	5	3	7	8	6	7	4	6	5	8	10	10.000	5.000	3.000	7.000	8.000	6.000	7.000	4.000	6.000	5.000	8.000	10.000	 
4074.0	1	sp|Q7TSH2|KPBB_MOUSE	 	37.4	1085	123888	Phosphorylase b kinase regulatory subunit beta OS=Mus musculus OX=10090 GN=Phkb PE=1 SV=1	194	194	1.000	17	15	9	20	16	18	18	17	18	16	13	17	17	15	9	20	16	18	18	17	18	16	13	17	17.000	15.000	9.000	20.000	16.000	18.000	18.000	17.000	18.000	16.000	13.000	17.000	 
4075.0	1	sp|Q7TSH6|SCAF4_MOUSE	 	11.0	1183	129054	SR-related and CTD-associated factor 4 OS=Mus musculus OX=10090 GN=Scaf4 PE=1 SV=1	67	46	0.687	3	7	8	8	6	4	4	3	4	6	6	8	1	5	6	5	4	3	3	3	3	5	3	5	1.400	6.667	7.333	7.143	5.143	3.500	3.500	3.000	3.600	5.625	4.000	6.364	sp|Q6DID3|SCAF8_MOUSE, sp|Q7TSH6|SCAF4_MOUSE
4076.0	1	sp|Q7TSI1|PKHM1_MOUSE	 	10.9	1074	118533	Pleckstrin homology domain-containing family M member 1 OS=Mus musculus OX=10090 GN=Plekhm1 PE=1 SV=1	18	18	1.000	3	0	0	1	1	0	4	3	1	3	1	1	3	0	0	1	1	0	4	3	1	3	1	1	3.000	0.000	0.000	1.000	1.000	0.000	4.000	3.000	1.000	3.000	1.000	1.000	 
4077.0	1	sp|Q7TSI3|PP6R1_MOUSE	 	47.5	856	94526	Serine/threonine-protein phosphatase 6 regulatory subunit 1 OS=Mus musculus OX=10090 GN=Ppp6r1 PE=1 SV=1	212	210	0.991	8	19	19	23	18	12	24	19	20	19	15	16	8	19	19	23	18	12	24	19	20	19	14	15	8.000	19.000	19.000	23.000	18.000	12.000	24.000	19.000	20.000	19.000	14.318	15.319	sp|Q7TSI3|PP6R1_MOUSE, sp|Q8R3Q2|PP6R2_MOUSE, sp|Q922D4|PP6R3_MOUSE
4078.0	1	sp|Q7TSJ6|LATS2_MOUSE	 	2.0	1042	115471	Serine/threonine-protein kinase LATS2 OS=Mus musculus OX=10090 GN=Lats2 PE=1 SV=1	8	4	0.500	0	0	2	0	1	2	1	1	0	0	1	0	0	0	1	0	1	0	1	1	0	0	0	0	0.000	0.000	2.000	0.000	1.000	0.000	1.000	1.000	0.000	0.000	0.000	0.000	sp|Q7TSJ6|LATS2_MOUSE, sp|Q8BYR2|LATS1_MOUSE
4079.0	1	sp|Q7TSQ8|PDPR_MOUSE	 	16.5	878	99229	Pyruvate dehydrogenase phosphatase regulatory subunit, mitochondrial OS=Mus musculus OX=10090 GN=Pdpr PE=1 SV=1	33	33	1.000	3	3	2	4	2	6	4	2	3	2	0	2	3	3	2	4	2	6	4	2	3	2	0	2	3.000	3.000	2.000	4.000	2.000	6.000	4.000	2.000	3.000	2.000	0.000	2.000	 
4080.0	1	sp|Q7TSS2|UB2Q1_MOUSE	 	20.1	422	46172	Ubiquitin-conjugating enzyme E2 Q1 OS=Mus musculus OX=10090 GN=Ube2q1 PE=1 SV=2	17	7	0.412	1	1	0	1	1	1	1	3	1	1	3	3	1	0	0	0	0	0	0	2	0	0	2	2	1.000	0.500	0.000	0.000	0.000	0.500	0.500	2.667	0.000	0.000	3.000	2.667	sp|Q7TSS2|UB2Q1_MOUSE, sp|Q8K2Z8|UB2Q2_MOUSE
4081.0	1	sp|Q7TSV4|PGM2_MOUSE	 	43.5	620	68747	Phosphopentomutase OS=Mus musculus OX=10090 GN=Pgm2 PE=1 SV=1	161	161	1.000	9	12	13	15	16	15	15	11	14	11	12	18	9	12	13	15	16	15	15	11	14	11	12	18	9.000	12.000	13.000	15.000	16.000	15.000	15.000	11.000	14.000	11.000	12.000	18.000	 
4082.0	1	sp|Q7TSZ8|NACC1_MOUSE	 	13.4	514	56536	Nucleus accumbens-associated protein 1 OS=Mus musculus OX=10090 GN=Nacc1 PE=1 SV=1	14	14	1.000	1	0	1	0	0	1	1	3	0	1	2	4	1	0	1	0	0	1	1	3	0	1	2	4	1.000	0.000	1.000	0.000	0.000	1.000	1.000	3.000	0.000	1.000	2.000	4.000	 
4083.0	1	sp|Q7TT00|SP20H_MOUSE	 	7.0	530	59519	Transcription factor SPT20 homolog OS=Mus musculus OX=10090 GN=Supt20h PE=1 SV=1	4	4	1.000	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0.000	0.000	0.000	0.000	0.000	2.000	1.000	0.000	0.000	1.000	0.000	0.000	 
4084.0	1	sp|Q7TT16|IPMK_MOUSE	 	21.0	396	44452	Inositol polyphosphate multikinase OS=Mus musculus OX=10090 GN=Ipmk PE=1 SV=1	11	11	1.000	1	1	1	0	0	1	3	2	2	0	0	0	1	1	1	0	0	1	3	2	2	0	0	0	1.000	1.000	1.000	0.000	0.000	1.000	3.000	2.000	2.000	0.000	0.000	0.000	 
4085.0	1	sp|Q7TT18|MCAF1_MOUSE	 	16.4	1306	138591	Activating transcription factor 7-interacting protein 1 OS=Mus musculus OX=10090 GN=Atf7ip PE=1 SV=1	41	41	1.000	2	2	3	5	2	5	3	3	4	5	3	4	2	2	3	5	2	5	3	3	4	5	3	4	2.000	2.000	3.000	5.000	2.000	5.000	3.000	3.000	4.000	5.000	3.000	4.000	 
4086.0	1	sp|Q7TT37|ELP1_MOUSE	 	36.6	1333	149582	Elongator complex protein 1 OS=Mus musculus OX=10090 GN=Elp1 PE=1 SV=2	193	193	1.000	19	15	15	17	16	17	17	19	15	14	14	15	19	15	15	17	16	17	17	19	15	14	14	15	19.000	15.000	15.000	17.000	16.000	17.000	17.000	19.000	15.000	14.000	14.000	15.000	 
4087.0	1	sp|Q7TT50|MRCKB_MOUSE	 	44.7	1713	194750	Serine/threonine-protein kinase MRCK beta OS=Mus musculus OX=10090 GN=Cdc42bpb PE=1 SV=2	451	392	0.869	29	33	34	23	36	51	42	46	43	36	41	37	25	30	30	21	30	44	37	39	36	31	35	34	28.362	32.727	34.000	22.826	35.349	50.216	41.246	45.205	42.086	35.455	40.759	36.833	sp|P54265|DMPK_MOUSE, sp|Q3UU96|MRCKA_MOUSE, sp|Q7TT50|MRCKB_MOUSE, sp|Q80UW5|MRCKG_MOUSE
4088.0	1	sp|Q80SU7|GVIN1_MOUSE	 	8.8	2427	280811	Interferon-induced very large GTPase 1 OS=Mus musculus OX=10090 GN=Gvin1 PE=1 SV=1	27	27	1.000	8	0	1	1	2	2	4	1	5	1	2	0	8	0	1	1	2	2	4	1	5	1	2	0	8.000	0.000	1.000	1.000	2.000	2.000	4.000	1.000	5.000	1.000	2.000	0.000	 
4089.0	1	sp|Q80SW1|SAHH2_MOUSE	 	54.7	530	58951	S-adenosylhomocysteine hydrolase-like protein 1 OS=Mus musculus OX=10090 GN=Ahcyl1 PE=1 SV=1	301	161	0.535	23	29	21	20	26	25	23	28	27	23	29	27	10	18	12	12	15	12	12	16	18	10	15	11	16.331	23.486	16.131	16.117	20.876	17.866	17.440	21.633	22.165	15.592	22.839	18.210	sp|P50247|SAHH_MOUSE, sp|Q68FL4|SAHH3_MOUSE, sp|Q80SW1|SAHH2_MOUSE
4090.0	1	sp|Q80SY4|MIB1_MOUSE	 	48.4	1006	110087	E3 ubiquitin-protein ligase MIB1 OS=Mus musculus OX=10090 GN=Mib1 PE=1 SV=1	213	212	0.995	10	16	16	13	22	17	21	21	20	18	20	19	10	16	16	13	22	17	20	21	20	18	20	19	10.000	16.000	16.000	13.000	22.000	17.000	20.952	21.000	20.000	18.000	20.000	19.000	sp|Q80SY4|MIB1_MOUSE, sp|Q99KR6|RNF34_MOUSE
4091.0	1	sp|Q80SY5|PR38B_MOUSE	 	17.3	542	63752	Pre-mRNA-splicing factor 38B OS=Mus musculus OX=10090 GN=Prpf38b PE=1 SV=1	33	33	1.000	2	3	2	2	2	3	4	3	1	4	4	3	2	3	2	2	2	3	4	3	1	4	4	3	2.000	3.000	2.000	2.000	2.000	3.000	4.000	3.000	1.000	4.000	4.000	3.000	 
4092.0	1	sp|Q80SY6|ADAL_MOUSE	 	20.3	360	41000	N6-Methyl-AMP deaminase OS=Mus musculus OX=10090 GN=Mapda PE=2 SV=1	32	32	1.000	1	3	4	3	1	2	0	5	3	3	4	3	1	3	4	3	1	2	0	5	3	3	4	3	1.000	3.000	4.000	3.000	1.000	2.000	0.000	5.000	3.000	3.000	4.000	3.000	 
4093.0	1	sp|Q80SZ7|GBG5_MOUSE	 	52.9	68	7318	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-5 OS=Mus musculus OX=10090 GN=Gng5 PE=1 SV=2	13	13	1.000	1	1	0	1	1	1	1	1	1	2	2	1	1	1	0	1	1	1	1	1	1	2	2	1	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	2.000	2.000	1.000	 
4094.0	1	sp|Q80T14|FRAS1_MOUSE	 	0.5	4010	442364	Extracellular matrix organizing protein FRAS1 OS=Mus musculus OX=10090 GN=Fras1 PE=1 SV=2	4	4	1.000	1	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	1.000	0.000	0.000	0.000	1.000	0.000	2.000	0.000	0.000	0.000	0.000	0.000	 
4095.0	1	sp|Q80T85|DCAF5_MOUSE	 	20.4	946	103675	DDB1- and CUL4-associated factor 5 OS=Mus musculus OX=10090 GN=Dcaf5 PE=1 SV=2	45	45	1.000	2	5	3	2	3	6	2	6	4	7	2	3	2	5	3	2	3	6	2	6	4	7	2	3	2.000	5.000	3.000	2.000	3.000	6.000	2.000	6.000	4.000	7.000	2.000	3.000	 
4096.0	1	sp|Q80TA6|MTMRC_MOUSE	 	18.7	747	85515	Myotubularin-related protein 12 OS=Mus musculus OX=10090 GN=Mtmr12 PE=1 SV=2	41	41	1.000	4	3	4	3	5	5	1	3	2	4	3	4	4	3	4	3	5	5	1	3	2	4	3	4	4.000	3.000	4.000	3.000	5.000	5.000	1.000	3.000	2.000	4.000	3.000	4.000	 
4097.0	1	sp|Q80TA9|EPG5_MOUSE	 	8.6	2572	290798	Ectopic P granules protein 5 homolog OS=Mus musculus OX=10090 GN=Epg5 PE=1 SV=2	35	35	1.000	4	2	2	5	3	4	2	5	4	1	0	3	4	2	2	5	3	4	2	5	4	1	0	3	4.000	2.000	2.000	5.000	3.000	4.000	2.000	5.000	4.000	1.000	0.000	3.000	 
4098.0	1	sp|Q80TC6|ZSWM5_MOUSE	 	4.3	1188	130926	Zinc finger SWIM domain-containing protein 5 OS=Mus musculus OX=10090 GN=Zswim5 PE=2 SV=2	5	5	1.000	0	0	1	0	0	0	0	0	0	1	2	1	0	0	1	0	0	0	0	0	0	1	2	1	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	2.000	1.000	 
4099.0	1	sp|Q80TD3|FNIP2_MOUSE	 	3.3	1108	122519	Folliculin-interacting protein 2 OS=Mus musculus OX=10090 GN=Fnip2 PE=1 SV=2	13	5	0.385	0	1	0	1	3	1	2	2	1	2	0	0	0	0	0	0	1	0	1	1	1	1	0	0	0.000	0.000	0.000	0.000	1.333	0.000	1.077	1.077	1.000	1.500	0.000	0.000	sp|Q64282|IFIT1_MOUSE, sp|Q68FD7|FNIP1_MOUSE, sp|Q80TD3|FNIP2_MOUSE
4100.0	1	sp|Q80TE0|RPAP1_MOUSE	 	16.1	1409	155268	RNA polymerase II-associated protein 1 OS=Mus musculus OX=10090 GN=Rpap1 PE=1 SV=2	44	44	1.000	7	3	3	1	2	4	2	4	3	5	4	6	7	3	3	1	2	4	2	4	3	5	4	6	7.000	3.000	3.000	1.000	2.000	4.000	2.000	4.000	3.000	5.000	4.000	6.000	 
4101.0	1	sp|Q80TE7|LRRC7_MOUSE	 	2.4	1490	166899	Leucine-rich repeat-containing protein 7 OS=Mus musculus OX=10090 GN=Lrrc7 PE=1 SV=2	9	1	0.111	2	0	0	0	0	2	2	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1.083	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	sp|Q80TE7|LRRC7_MOUSE, sp|Q80TH2|ERBIN_MOUSE
4102.0	1	sp|Q80TF4|KLH13_MOUSE	 	8.9	654	73786	Kelch-like protein 13 OS=Mus musculus OX=10090 GN=Klhl13 PE=2 SV=3	11	1	0.091	0	0	0	1	0	0	1	2	1	1	3	2	0	0	0	0	0	0	0	0	0	0	1	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.500	0.000	sp|Q6ZPT1|KLHL9_MOUSE, sp|Q80TF4|KLH13_MOUSE
4103.0	1	sp|Q80TF6|STAR9_MOUSE	 	0.9	4561	500237	StAR-related lipid transfer protein 9 OS=Mus musculus OX=10090 GN=Stard9 PE=1 SV=2	22	3	0.136	2	2	2	2	2	2	2	1	3	2	1	1	0	0	0	0	1	0	0	0	1	1	0	0	0.000	0.000	0.000	0.000	1.016	0.000	0.000	0.000	1.214	1.018	0.000	0.000	sp|B1AVY7|KI16B_MOUSE, sp|L0N7N1|KIF14_MOUSE, sp|O35071|KIF1C_MOUSE, sp|O35231|KIFC3_MOUSE, sp|Q61771|KIF3B_MOUSE, sp|Q80TF6|STAR9_MOUSE, sp|Q99PW8|KIF17_MOUSE, sp|Q9EQW7|KI13A_MOUSE, tr|A0A286YCV9|A0A286YCV9_MOUSE
4104.0	1	sp|Q80TH2|ERBIN_MOUSE	 	37.2	1402	157247	Erbin OS=Mus musculus OX=10090 GN=Erbin PE=1 SV=3	152	144	0.947	12	14	8	10	10	23	18	13	9	16	10	9	11	14	8	10	10	21	16	11	8	16	10	9	11.917	14.000	8.000	10.000	10.000	23.000	18.000	13.000	9.000	16.000	10.000	9.000	sp|Q80TE7|LRRC7_MOUSE, sp|Q80TH2|ERBIN_MOUSE
4105.0	1	sp|Q80TJ7|PHF8_MOUSE	 	9.9	1023	113552	Histone lysine demethylase PHF8 OS=Mus musculus OX=10090 GN=Phf8 PE=1 SV=2	11	7	0.636	1	1	0	0	1	1	1	0	1	1	3	1	1	1	0	0	1	0	1	0	0	0	2	1	1.000	1.000	0.000	0.000	1.000	0.000	1.000	0.000	0.500	0.000	2.400	1.000	sp|Q80TJ7|PHF8_MOUSE, sp|Q9WTU0|PHF2_MOUSE
4106.0	1	sp|Q80TL7|MON2_MOUSE	 	23.8	1715	189076	Protein MON2 homolog OS=Mus musculus OX=10090 GN=Mon2 PE=1 SV=2	177	177	1.000	11	14	16	17	11	17	21	15	17	16	11	11	11	14	16	17	11	17	21	15	17	16	11	11	11.000	14.000	16.000	17.000	11.000	17.000	21.000	15.000	17.000	16.000	11.000	11.000	 
4107.0	1	sp|Q80TM9|NISCH_MOUSE	 	23.2	1593	175010	Nischarin OS=Mus musculus OX=10090 GN=Nisch PE=1 SV=2	171	171	1.000	17	15	12	16	17	16	13	11	16	18	10	10	17	15	12	16	17	16	13	11	16	18	10	10	17.000	15.000	12.000	16.000	17.000	16.000	13.000	11.000	16.000	18.000	10.000	10.000	 
4108.0	1	sp|Q80TN4|DJC16_MOUSE	 	14.6	772	89135	DnaJ homolog subfamily C member 16 OS=Mus musculus OX=10090 GN=Dnajc16 PE=1 SV=2	29	29	1.000	2	2	1	2	5	1	3	4	2	2	1	4	2	2	1	2	5	1	3	4	2	2	1	4	2.000	2.000	1.000	2.000	5.000	1.000	3.000	4.000	2.000	2.000	1.000	4.000	 
4109.0	1	sp|Q80TN5|ZDH17_MOUSE	 	4.4	632	72620	Palmitoyltransferase ZDHHC17 OS=Mus musculus OX=10090 GN=Zdhhc17 PE=1 SV=2	13	4	0.308	1	1	2	0	1	2	3	1	1	1	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0.500	0.500	2.000	0.000	0.500	2.000	3.000	0.000	0.000	0.000	0.000	0.000	sp|Q80TN5|ZDH17_MOUSE, sp|Q9CWU2|ZDH13_MOUSE
4110.0	1	sp|Q80TN7|NAV3_MOUSE	 	2.0	2359	252298	Neuron navigator 3 OS=Mus musculus OX=10090 GN=Nav3 PE=1 SV=2	5	2	0.400	0	0	0	0	0	0	0	0	1	0	2	2	0	0	0	0	0	0	0	0	1	0	1	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	1.200	0.000	sp|Q80TN7|NAV3_MOUSE, sp|Q8CH77|NAV1_MOUSE, tr|V9GX91|V9GX91_MOUSE
4111.0	1	sp|Q80TP3|UBR5_MOUSE	 	22.4	2792	308349	E3 ubiquitin-protein ligase UBR5 OS=Mus musculus OX=10090 GN=Ubr5 PE=1 SV=2	144	144	1.000	10	11	11	10	13	9	16	17	10	10	17	10	10	11	11	10	13	9	16	17	10	10	17	10	10.000	11.000	11.000	10.000	13.000	9.000	16.000	17.000	10.000	10.000	17.000	10.000	 
4112.0	1	sp|Q80TQ2|CYLD_MOUSE	 	19.3	952	106584	Ubiquitin carboxyl-terminal hydrolase CYLD OS=Mus musculus OX=10090 GN=Cyld PE=1 SV=2	30	30	1.000	2	2	1	0	1	4	3	4	1	3	5	4	2	2	1	0	1	4	3	4	1	3	5	4	2.000	2.000	1.000	0.000	1.000	4.000	3.000	4.000	1.000	3.000	5.000	4.000	 
4113.0	1	sp|Q80TQ5|PKHM2_MOUSE	 	5.6	1018	112732	Pleckstrin homology domain-containing family M member 2 OS=Mus musculus OX=10090 GN=Plekhm2 PE=1 SV=2	12	12	1.000	1	1	0	2	0	1	0	4	0	0	2	1	1	1	0	2	0	1	0	4	0	0	2	1	1.000	1.000	0.000	2.000	0.000	1.000	0.000	4.000	0.000	0.000	2.000	1.000	 
4114.0	1	sp|Q80TR8|DCAF1_MOUSE	 	21.0	1506	168929	DDB1- and CUL4-associated factor 1 OS=Mus musculus OX=10090 GN=Dcaf1 PE=1 SV=4	89	89	1.000	8	8	4	5	11	7	10	6	13	7	5	5	8	8	4	5	11	7	10	6	13	7	5	5	8.000	8.000	4.000	5.000	11.000	7.000	10.000	6.000	13.000	7.000	5.000	5.000	 
4115.0	1	sp|Q80TV8|CLAP1_MOUSE	 	22.4	1535	169225	CLIP-associating protein 1 OS=Mus musculus OX=10090 GN=Clasp1 PE=1 SV=2	94	73	0.777	9	3	7	5	9	6	9	11	7	7	11	10	8	2	5	3	6	5	6	9	6	6	8	9	8.500	2.667	5.714	4.333	7.923	5.333	7.657	10.291	6.375	6.375	9.500	9.474	REV_P59470, sp|Q80TV8|CLAP1_MOUSE, sp|Q8BRT1|CLAP2_MOUSE
4116.0	1	sp|Q80TY0|FNBP1_MOUSE	 	27.8	616	71343	Formin-binding protein 1 OS=Mus musculus OX=10090 GN=Fnbp1 PE=1 SV=2	88	88	1.000	6	11	6	4	6	8	12	8	7	10	6	4	6	11	6	4	6	8	12	8	7	10	6	4	6.000	11.000	6.000	4.000	6.000	8.000	12.000	8.000	7.000	10.000	6.000	4.000	 
4117.0	1	sp|Q80TY5|VP13B_MOUSE	 	4.5	3993	444010	Intermembrane lipid transfer protein VPS13B OS=Mus musculus OX=10090 GN=Vps13b PE=1 SV=3	25	25	1.000	1	4	4	1	2	3	0	2	1	0	0	7	1	4	4	1	2	3	0	2	1	0	0	7	1.000	4.000	4.000	1.000	2.000	3.000	0.000	2.000	1.000	0.000	0.000	7.000	 
4118.0	1	sp|Q80TZ9|RERE_MOUSE	 	2.1	1558	171753	Arginine-glutamic acid dipeptide repeats protein OS=Mus musculus OX=10090 GN=Rere PE=1 SV=3	3	3	1.000	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.000	0.000	0.000	0.000	1.000	 
4119.0	1	sp|Q80U04|PJA2_MOUSE	 	16.3	707	77957	E3 ubiquitin-protein ligase Praja-2 OS=Mus musculus OX=10090 GN=Pja2 PE=1 SV=2	18	18	1.000	0	1	1	2	3	1	1	3	4	2	0	0	0	1	1	2	3	1	1	3	4	2	0	0	0.000	1.000	1.000	2.000	3.000	1.000	1.000	3.000	4.000	2.000	0.000	0.000	 
4120.0	1	sp|Q80U19|DAAM2_MOUSE	 	3.4	1115	128368	Disheveled-associated activator of morphogenesis 2 OS=Mus musculus OX=10090 GN=Daam2 PE=1 SV=4	10	3	0.300	0	1	2	1	1	0	0	1	0	1	1	2	0	1	1	0	0	0	0	0	0	0	0	1	0.000	1.000	1.077	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.143	sp|Q80U19|DAAM2_MOUSE, sp|Q8BPM0|DAAM1_MOUSE
4121.0	1	sp|Q80U22|RUSC2_MOUSE	 	4.0	1514	161137	AP-4 complex accessory subunit RUSC2 OS=Mus musculus OX=10090 GN=Rusc2 PE=1 SV=2	7	7	1.000	1	1	1	0	0	0	3	0	0	1	0	0	1	1	1	0	0	0	3	0	0	1	0	0	1.000	1.000	1.000	0.000	0.000	0.000	3.000	0.000	0.000	1.000	0.000	0.000	 
4122.0	1	sp|Q80U28|MADD_MOUSE	 	3.9	1577	175178	MAP kinase-activating death domain protein OS=Mus musculus OX=10090 GN=Madd PE=1 SV=2	5	5	1.000	2	0	0	0	0	0	1	1	1	0	0	0	2	0	0	0	0	0	1	1	1	0	0	0	2.000	0.000	0.000	0.000	0.000	0.000	1.000	1.000	1.000	0.000	0.000	0.000	 
4123.0	1	sp|Q80U30|CL16A_MOUSE	 	18.7	1036	116231	Protein CLEC16A OS=Mus musculus OX=10090 GN=Clec16a PE=1 SV=2	59	59	1.000	4	6	5	4	3	4	4	5	9	6	4	5	4	6	5	4	3	4	4	5	9	6	4	5	4.000	6.000	5.000	4.000	3.000	4.000	4.000	5.000	9.000	6.000	4.000	5.000	 
4124.0	1	sp|Q80U35|ARHGH_MOUSE	 	6.6	2057	221669	Rho guanine nucleotide exchange factor 17 OS=Mus musculus OX=10090 GN=Arhgef17 PE=1 SV=2	10	10	1.000	0	1	0	0	2	2	1	0	1	1	0	2	0	1	0	0	2	2	1	0	1	1	0	2	0.000	1.000	0.000	0.000	2.000	2.000	1.000	0.000	1.000	1.000	0.000	2.000	 
4125.0	1	sp|Q80U38|KHNYN_MOUSE	 	21.8	671	74564	Protein KHNYN OS=Mus musculus OX=10090 GN=Khnyn PE=2 SV=2	36	36	1.000	3	3	2	4	1	5	4	4	3	1	3	3	3	3	2	4	1	5	4	4	3	1	3	3	3.000	3.000	2.000	4.000	1.000	5.000	4.000	4.000	3.000	1.000	3.000	3.000	 
4126.0	1	sp|Q80U44|ZFY16_MOUSE	 	16.4	1528	166669	Zinc finger FYVE domain-containing protein 16 OS=Mus musculus OX=10090 GN=Zfyve16 PE=1 SV=2	80	80	1.000	5	8	7	8	2	9	6	10	5	9	6	5	5	8	7	8	2	9	6	10	5	9	6	5	5.000	8.000	7.000	8.000	2.000	9.000	6.000	10.000	5.000	9.000	6.000	5.000	 
4127.0	1	sp|Q80U49|C170B_MOUSE	 	19.8	1574	170819	Centrosomal protein of 170 kDa protein B OS=Mus musculus OX=10090 GN=Cep170b PE=1 SV=2	45	41	0.911	2	5	3	6	1	4	2	8	3	3	3	5	2	5	3	5	1	4	2	7	2	3	3	4	2.000	5.000	3.000	5.714	1.000	4.000	2.000	7.538	3.000	3.000	3.000	4.571	sp|Q6A065|CE170_MOUSE, sp|Q80U49|C170B_MOUSE
4128.0	1	sp|Q80U56|AVL9_MOUSE	 	13.1	649	72185	Late secretory pathway protein AVL9 homolog OS=Mus musculus OX=10090 GN=Avl9 PE=1 SV=2	28	28	1.000	3	3	2	3	1	1	3	1	3	1	3	4	3	3	2	3	1	1	3	1	3	1	3	4	3.000	3.000	2.000	3.000	1.000	1.000	3.000	1.000	3.000	1.000	3.000	4.000	 
4129.0	1	sp|Q80U58|PUM2_MOUSE	 	15.7	1066	114313	Pumilio homolog 2 OS=Mus musculus OX=10090 GN=Pum2 PE=1 SV=2	34	16	0.471	4	2	3	2	4	1	1	2	1	1	7	6	2	0	0	1	1	0	0	1	0	0	6	5	2.500	0.000	0.000	1.125	1.333	0.000	0.000	1.111	0.000	0.000	6.667	5.625	sp|Q80U58|PUM2_MOUSE, sp|Q80U78|PUM1_MOUSE
4130.0	1	sp|Q80U63|MFN2_MOUSE	 	44.3	757	86187	Mitofusin-2 OS=Mus musculus OX=10090 GN=Mfn2 PE=1 SV=3	208	199	0.957	17	18	15	14	19	17	23	19	16	14	16	20	16	17	14	13	18	16	23	19	16	13	15	19	16.571	17.548	14.538	13.500	18.621	16.571	23.000	19.000	16.000	13.406	15.536	19.543	sp|Q80U63|MFN2_MOUSE, sp|Q811U4|MFN1_MOUSE
4131.0	1	sp|Q80U70|SUZ12_MOUSE	 	25.2	741	83025	Polycomb protein Suz12 OS=Mus musculus OX=10090 GN=Suz12 PE=1 SV=2	23	23	1.000	3	1	0	0	1	2	2	3	2	1	6	2	3	1	0	0	1	2	2	3	2	1	6	2	3.000	1.000	0.000	0.000	1.000	2.000	2.000	3.000	2.000	1.000	6.000	2.000	 
4132.0	1	sp|Q80U72|SCRIB_MOUSE	 	40.8	1665	179748	Protein scribble homolog OS=Mus musculus OX=10090 GN=Scrib PE=1 SV=3	228	218	0.956	21	20	17	14	13	23	16	19	26	21	17	21	21	20	17	13	13	21	15	18	25	20	16	19	21.000	20.000	17.000	14.000	13.000	23.000	16.000	19.000	26.000	21.000	17.000	20.900	sp|Q80U72|SCRIB_MOUSE, sp|Q80VQ1|LRRC1_MOUSE
4133.0	1	sp|Q80U78|PUM1_MOUSE	 	24.9	1189	126618	Pumilio homolog 1 OS=Mus musculus OX=10090 GN=Pum1 PE=1 SV=2	104	86	0.827	8	13	10	8	11	9	10	9	11	7	4	4	6	11	7	7	8	8	9	8	10	6	3	3	7.500	13.000	10.000	7.875	10.667	9.000	10.000	8.889	11.000	7.000	3.333	3.375	sp|Q80U58|PUM2_MOUSE, sp|Q80U78|PUM1_MOUSE
