Program "PAW_protein_grouper.py" run on Tue Oct 28 09:49:56 2025


	=SUBTOTAL(109,B6:B6331)																					
2846	1	sp|Q6Y7W8|GGYF2_MOUSE	 	 	 	 	17.3	1291	149191	GRB10-interacting GYF protein 2 OS=Mus musculus OX=10090 GN=Gigyf2 PE=1 SV=2	53	53	1.000	19	16	18	19	16	18	19.000	16.000	18.000
2847	1	sp|Q6ZPE2|MTMR5_MOUSE	 	 	sp|E9PXF8|MTMRD_MOUSE, sp|Q6ZPE2|MTMR5_MOUSE	 	14.5	1867	208690	Myotubularin-related protein 5 OS=Mus musculus OX=10090 GN=Sbf1 PE=1 SV=2	41	38	0.927	16	16	9	15	15	8	15.938	16.000	8.889
2848	1	sp|Q6ZPF4|FMNL3_MOUSE	 	 	sp|A2APV2|FMNL2_MOUSE, sp|Q6ZPF4|FMNL3_MOUSE	 	3.4	1028	117167	Formin-like protein 3 OS=Mus musculus OX=10090 GN=Fmnl3 PE=1 SV=2	8	2	0.250	3	2	3	1	0	1	2.000	0.000	2.000
2849	1	sp|Q6ZPJ0|TEX2_MOUSE	 	 	 	 	22.2	1128	125224	Testis-expressed protein 2 OS=Mus musculus OX=10090 GN=Tex2 PE=1 SV=2	51	51	1.000	17	16	18	17	16	18	17.000	16.000	18.000
2850	1	sp|Q6ZPJ3|UBE2O_MOUSE	 	 	 	 	12.2	1288	140832	(E3-independent) E2 ubiquitin-conjugating enzyme UBE2O OS=Mus musculus OX=10090 GN=Ube2o PE=1 SV=3	27	27	1.000	11	9	7	11	9	7	11.000	9.000	7.000
2851	1	sp|Q6ZPR5|NSMA3_MOUSE	 	 	 	 	10.8	823	93275	Sphingomyelin phosphodiesterase 4 OS=Mus musculus OX=10090 GN=Smpd4 PE=1 SV=2	13	13	1.000	5	3	5	5	3	5	5.000	3.000	5.000
2852	1	sp|Q6ZPR6|IBTK_MOUSE	 	 	 	 	6.1	1352	149567	Inhibitor of Bruton tyrosine kinase OS=Mus musculus OX=10090 GN=Ibtk PE=1 SV=3	12	12	1.000	8	2	2	8	2	2	8.000	2.000	2.000
2853	1	sp|Q6ZPT1|KLHL9_MOUSE (+1)	sp|Q6ZPT1|KLHL9_MOUSE&sp|Q80TF4|KLH13_MOUSE	 	 	 	4.9	617	69399	Kelch-like protein 9 OS=Mus musculus OX=10090 GN=Klhl9 PE=2 SV=2	6	6	1.000	2	1	3	2	1	3	2.000	1.000	3.000
2854	1	sp|Q6ZPU9|KBP_MOUSE	 	 	 	 	10.5	617	71051	KIF-binding protein OS=Mus musculus OX=10090 GN=Kifbp PE=1 SV=2	8	8	1.000	2	4	2	2	4	2	2.000	4.000	2.000
2855	1	sp|Q6ZPY2|SMG5_MOUSE	 	 	 	 	2.8	1017	114069	Nonsense-mediated mRNA decay factor SMG5 OS=Mus musculus OX=10090 GN=Smg5 PE=1 SV=2	3	3	1.000	2	1	0	2	1	0	2.000	1.000	0.000
2856	1	sp|Q6ZPY7|KDM3B_MOUSE	 	 	 	 	3.1	1762	191457	Lysine-specific demethylase 3B OS=Mus musculus OX=10090 GN=Kdm3b PE=1 SV=3	7	7	1.000	1	2	4	1	2	4	1.000	2.000	4.000
2857	1	sp|Q6ZPZ3|ZC3H4_MOUSE	 	 	 	 	6.3	1304	140966	Zinc finger CCCH domain-containing protein 4 OS=Mus musculus OX=10090 GN=Zc3h4 PE=1 SV=2	12	12	1.000	4	3	5	4	3	5	4.000	3.000	5.000
2858	1	sp|Q6ZQ03|FNBP4_MOUSE	 	 	 	 	5.3	1031	111244	Formin-binding protein 4 OS=Mus musculus OX=10090 GN=Fnbp4 PE=1 SV=2	6	6	1.000	2	3	1	2	3	1	2.000	3.000	1.000
2859	1	sp|Q6ZQ08|CNOT1_MOUSE	 	 	 	 	19.5	2375	266805	CCR4-NOT transcription complex subunit 1 OS=Mus musculus OX=10090 GN=Cnot1 PE=1 SV=2	97	97	1.000	37	30	30	37	30	30	37.000	30.000	30.000
2860	1	sp|Q6ZQ12|NINL_MOUSE	 	 	sp|Q61595|KTN1_MOUSE, sp|Q6ZQ12|NINL_MOUSE	 	1.1	1394	157836	Ninein-like protein OS=Mus musculus OX=10090 GN=Ninl PE=1 SV=3	3	2	0.667	1	2	0	1	1	0	1.000	1.042	0.000
2861	1	sp|Q6ZQ29|TAOK2_MOUSE	 	 	sp|Q5F2E8|TAOK1_MOUSE, sp|Q6ZQ29|TAOK2_MOUSE, sp|Q8BYC6|TAOK3_MOUSE	 	1.4	1240	139296	Serine/threonine-protein kinase TAO2 OS=Mus musculus OX=10090 GN=Taok2 PE=1 SV=3	4	1	0.250	2	1	1	1	0	0	1.040	0.000	0.000
2862	1	sp|Q6ZQ38|CAND1_MOUSE	 	 	 	 	38.3	1230	136330	Cullin-associated NEDD8-dissociated protein 1 OS=Mus musculus OX=10090 GN=Cand1 PE=1 SV=2	195	195	1.000	67	59	69	67	59	69	67.000	59.000	69.000
2863	1	sp|Q6ZQ58|LARP1_MOUSE	 	 	 	 	29.6	1072	121123	La-related protein 1 OS=Mus musculus OX=10090 GN=Larp1 PE=1 SV=3	86	86	1.000	31	27	28	31	27	28	31.000	27.000	28.000
2864	1	sp|Q6ZQ82|RHG26_MOUSE	 	 	 	 	3.2	814	92070	Rho GTPase-activating protein 26 OS=Mus musculus OX=10090 GN=Arhgap26 PE=1 SV=3	4	4	1.000	1	0	3	1	0	3	1.000	0.000	3.000
2865	1	sp|Q6ZQ88|KDM1A_MOUSE	 	 	 	 	8.9	853	92849	Lysine-specific histone demethylase 1A OS=Mus musculus OX=10090 GN=Kdm1a PE=1 SV=2	12	12	1.000	5	5	2	5	5	2	5.000	5.000	2.000
2866	1	sp|Q6ZQ89|MARH6_MOUSE	 	 	 	 	3.9	909	102272	E3 ubiquitin-protein ligase MARCHF6 OS=Mus musculus OX=10090 GN=Marchf6 PE=2 SV=2	6	6	1.000	1	2	3	1	2	3	1.000	2.000	3.000
2867	1	sp|Q6ZQA0|NBEL2_MOUSE	 	 	 	 	2.0	2742	301921	Neurobeachin-like protein 2 OS=Mus musculus OX=10090 GN=Nbeal2 PE=1 SV=2	7	7	1.000	2	1	4	2	1	4	2.000	1.000	4.000
2868	1	sp|Q6ZQB6|VIP2_MOUSE	 	 	sp|A2ARP1|VIP1_MOUSE, sp|Q6ZQB6|VIP2_MOUSE	 	14.8	1129	128425	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2 OS=Mus musculus OX=10090 GN=Ppip5k2 PE=1 SV=3	27	22	0.815	8	10	9	7	7	8	7.875	10.000	9.000
2869	1	sp|Q6ZQH8|NU188_MOUSE	 	 	 	 	6.5	1759	196694	Nucleoporin NUP188 OS=Mus musculus OX=10090 GN=Nup188 PE=1 SV=2	17	17	1.000	8	5	4	8	5	4	8.000	5.000	4.000
2870	1	sp|Q6ZQI3|MLEC_MOUSE	 	 	 	 	46.4	291	32342	Malectin OS=Mus musculus OX=10090 GN=Mlec PE=1 SV=2	55	55	1.000	21	17	17	21	17	17	21.000	17.000	17.000
2871	1	sp|Q6ZQK5|ACAP2_MOUSE	 	 	 	 	14.4	770	87210	Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2 OS=Mus musculus OX=10090 GN=Acap2 PE=1 SV=2	16	16	1.000	4	6	6	4	6	6	4.000	6.000	6.000
2872	1	sp|Q6ZQL4|WDR43_MOUSE	 	 	 	 	7.5	677	75380	WD repeat-containing protein 43 OS=Mus musculus OX=10090 GN=Wdr43 PE=1 SV=2	12	12	1.000	4	4	4	4	4	4	4.000	4.000	4.000
2873	1	sp|Q6ZWM4|LSM8_MOUSE	 	 	 	 	34.4	96	10403	U6 snRNA-associated Sm-like protein LSm8 OS=Mus musculus OX=10090 GN=Lsm8 PE=1 SV=3	11	11	1.000	3	4	4	3	4	4	3.000	4.000	4.000
2874	1	sp|Q6ZWN5|RS9_MOUSE	 	 	 	 	55.7	194	22591	Small ribosomal subunit protein uS4 OS=Mus musculus OX=10090 GN=Rps9 PE=1 SV=3	129	129	1.000	43	41	45	43	41	45	43.000	41.000	45.000
2875	1	sp|Q6ZWQ0|SYNE2_MOUSE	 	 	 	 	2.5	6874	782716	Nesprin-2 OS=Mus musculus OX=10090 GN=Syne2 PE=1 SV=2	25	24	0.960	10	8	7	10	7	7	10.000	8.000	7.000
2876	1	sp|Q6ZWQ7|SPCS3_MOUSE	 	 	 	 	21.7	180	20313	Signal peptidase complex subunit 3 OS=Mus musculus OX=10090 GN=Spcs3 PE=1 SV=1	27	27	1.000	9	9	9	9	9	9	9.000	9.000	9.000
2877	1	sp|Q6ZWR4|2ABB_MOUSE	 	 	sp|Q6P1F6|2ABA_MOUSE, sp|Q6ZWR4|2ABB_MOUSE, sp|Q8BG02|2ABG_MOUSE, sp|Q925E7|2ABD_MOUSE	 	8.1	443	51710	Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B beta isoform OS=Mus musculus OX=10090 GN=Ppp2r2b PE=1 SV=1	9	0	0.000	3	2	4	0	0	0	0.000	0.000	0.333
2878	1	sp|Q6ZWR6|SYNE1_MOUSE	 	 	 	 	0.9	8799	1009914	Nesprin-1 OS=Mus musculus OX=10090 GN=Syne1 PE=1 SV=2	9	9	1.000	2	3	4	2	3	4	2.000	3.000	4.000
2880	1	sp|Q6ZWV3|RL10_MOUSE	 	 	 	 	46.3	214	24604	Large ribosomal subunit protein uL16 OS=Mus musculus OX=10090 GN=Rpl10 PE=1 SV=3	101	101	1.000	33	31	37	33	31	37	33.000	31.000	37.000
2881	1	sp|Q6ZWV7|RL35_MOUSE	 	 	 	 	13.8	123	14552	Large ribosomal subunit protein uL29 OS=Mus musculus OX=10090 GN=Rpl35 PE=1 SV=1	28	28	1.000	11	7	10	11	7	10	11.000	7.000	10.000
2882	1	sp|Q6ZWX6|IF2A_MOUSE	 	 	 	 	59.0	315	36108	Eukaryotic translation initiation factor 2 subunit 1 OS=Mus musculus OX=10090 GN=Eif2s1 PE=1 SV=3	104	104	1.000	37	35	32	37	35	32	37.000	35.000	32.000
2884	1	sp|Q6ZWZ2|UB2R2_MOUSE	 	 	sp|Q6ZWZ2|UB2R2_MOUSE, sp|Q8CFI2|UB2R1_MOUSE	 	23.9	238	27166	Ubiquitin-conjugating enzyme E2 R2 OS=Mus musculus OX=10090 GN=Ube2r2 PE=1 SV=1	16	11	0.688	5	5	6	3	3	5	4.500	4.500	5.833
2885	1	sp|Q70FJ1|AKAP9_MOUSE	 	 	 	 	10.2	3797	435986	A-kinase anchor protein 9 OS=Mus musculus OX=10090 GN=Akap9 PE=1 SV=2	60	60	1.000	20	21	19	20	21	19	20.000	21.000	19.000
2886	1	sp|Q711T7|NADE_MOUSE	 	 	 	 	14.6	725	81652	Glutamine-dependent NAD(+) synthetase OS=Mus musculus OX=10090 GN=Nadsyn1 PE=1 SV=1	28	28	1.000	12	8	8	12	8	8	12.000	8.000	8.000
2887	1	sp|Q71FD5|ZNRF2_MOUSE	 	 	 	 	18.9	238	23705	E3 ubiquitin-protein ligase ZNRF2 OS=Mus musculus OX=10090 GN=Znrf2 PE=1 SV=1	6	6	1.000	1	2	3	1	2	3	1.000	2.000	3.000
2888	1	sp|Q71KT5|ERG24_MOUSE	 	 	 	 	20.8	418	46520	Delta(14)-sterol reductase TM7SF2 OS=Mus musculus OX=10090 GN=Tm7sf2 PE=1 SV=2	35	35	1.000	13	11	11	13	11	11	13.000	11.000	11.000
2889	1	sp|Q71KU9|FGL1_MOUSE	 	 	 	 	31.2	314	36439	Fibrinogen-like protein 1 OS=Mus musculus OX=10090 GN=Fgl1 PE=1 SV=2	28	28	1.000	8	9	11	8	9	11	8.000	9.000	11.000
2890	1	sp|Q71LX4|TLN2_MOUSE	 	 	sp|P26039|TLN1_MOUSE, sp|Q71LX4|TLN2_MOUSE, sp|Q9CPR4|RL17_MOUSE	 	34.5	2375	253618	Talin-2 OS=Mus musculus OX=10090 GN=Tln2 PE=1 SV=3	193	128	0.663	61	71	61	41	47	40	46.882	55.042	45.411
2891	1	sp|Q71RI9|KAT3_MOUSE	 	 	sp|Q71RI9|KAT3_MOUSE, sp|Q8BTY1|KAT1_MOUSE	 	46.2	455	51126	Kynurenine--oxoglutarate transaminase 3 OS=Mus musculus OX=10090 GN=Kyat3 PE=1 SV=1	200	177	0.885	58	74	68	51	67	59	55.577	71.937	65.034
2892	1	sp|Q75N73|S39AE_MOUSE	 	 	 	 	8.0	489	53961	Metal cation symporter ZIP14 OS=Mus musculus OX=10090 GN=Slc39a14 PE=1 SV=1	4	4	1.000	1	1	2	1	1	2	1.000	1.000	2.000
2893	1	sp|Q762D5|S35D2_MOUSE	 	 	 	 	9.8	326	35895	Nucleotide sugar transporter SLC35D2 OS=Mus musculus OX=10090 GN=Slc35d2 PE=2 SV=1	6	6	1.000	2	2	2	2	2	2	2.000	2.000	2.000
2894	1	sp|Q76LS9|MINY1_MOUSE	 	 	 	 	15.0	468	51225	Ubiquitin carboxyl-terminal hydrolase MINDY-1 OS=Mus musculus OX=10090 GN=Mindy1 PE=1 SV=1	17	17	1.000	5	6	6	5	6	6	5.000	6.000	6.000
2895	1	sp|Q76M72|S22AR_MOUSE	 	 	sp|Q76M72|S22AR_MOUSE, tr|B2RT89|B2RT89_MOUSE, tr|Q8BWG6|Q8BWG6_MOUSE, tr|Q91WJ2|Q91WJ2_MOUSE	 	9.3	551	62045	Solute carrier family 22 member 27 OS=Mus musculus OX=10090 GN=Slc22a27 PE=1 SV=1	18	0	0.000	6	7	5	0	0	0	0.000	0.500	0.500
2896	1	sp|Q76MZ3|2AAA_MOUSE	 	 	sp|Q76MZ3|2AAA_MOUSE, sp|Q7TNP2|2AAB_MOUSE	 	39.9	589	65322	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform OS=Mus musculus OX=10090 GN=Ppp2r1a PE=1 SV=3	114	90	0.789	37	37	40	27	30	33	36.000	35.833	39.243
2897	1	sp|Q78HU3|MB12A_MOUSE	 	 	 	 	33.9	271	28705	Multivesicular body subunit 12A OS=Mus musculus OX=10090 GN=Mvb12a PE=1 SV=1	16	16	1.000	6	6	4	6	6	4	6.000	6.000	4.000
2898	1	sp|Q78IK4|MIC27_MOUSE	 	 	 	 	47.9	265	29260	MICOS complex subunit Mic27 OS=Mus musculus OX=10090 GN=Apool PE=1 SV=1	65	65	1.000	22	21	22	22	21	22	22.000	21.000	22.000
2899	1	sp|Q78IQ7|S39A4_MOUSE	 	 	 	 	4.1	660	71062	Zinc transporter ZIP4 OS=Mus musculus OX=10090 GN=Slc39a4 PE=1 SV=1	5	5	1.000	2	2	1	2	2	1	2.000	2.000	1.000
2900	1	sp|Q78J03|MSRB2_MOUSE	 	 	 	 	29.7	175	19157	Methionine-R-sulfoxide reductase B2, mitochondrial OS=Mus musculus OX=10090 GN=Msrb2 PE=1 SV=1	11	11	1.000	4	3	4	4	3	4	4.000	3.000	4.000
2901	1	sp|Q78JE5|FBX22_MOUSE	 	 	 	 	31.6	402	44202	F-box only protein 22 OS=Mus musculus OX=10090 GN=Fbxo22 PE=1 SV=2	27	27	1.000	12	7	8	12	7	8	12.000	7.000	8.000
2902	1	sp|Q78JN3|ECI3_MOUSE	 	 	sp|Q78JN3|ECI3_MOUSE, sp|Q9WUR2|ECI2_MOUSE	 	21.5	317	35230	Enoyl-CoA delta isomerase 3, peroxisomal OS=Mus musculus OX=10090 GN=Eci3 PE=1 SV=1	29	4	0.138	12	7	10	2	0	2	2.870	0.000	2.800
2903	1	sp|Q78JT3|3HAO_MOUSE	 	 	 	 	70.3	286	32804	3-hydroxyanthranilate 3,4-dioxygenase OS=Mus musculus OX=10090 GN=Haao PE=1 SV=1	299	299	1.000	103	97	99	103	97	99	103.000	97.000	99.000
2904	1	sp|Q78JW9|UBFD1_MOUSE	 	 	 	 	21.2	368	40143	Ubiquitin domain-containing protein UBFD1 OS=Mus musculus OX=10090 GN=Ubfd1 PE=1 SV=2	28	28	1.000	10	9	9	10	9	9	10.000	9.000	9.000
2905	1	sp|Q78KK3|S22AI_MOUSE	 	 	 	 	15.3	406	43012	Solute carrier family 22 member 18 OS=Mus musculus OX=10090 GN=Slc22a18 PE=1 SV=2	29	29	1.000	10	9	10	10	9	10	10.000	9.000	10.000
2906	1	sp|Q78PG9|CCD25_MOUSE	 	 	 	 	47.6	208	24480	Coiled-coil domain-containing protein 25 OS=Mus musculus OX=10090 GN=Ccdc25 PE=1 SV=1	41	41	1.000	15	15	11	15	15	11	15.000	15.000	11.000
2907	1	sp|Q78PY7|SND1_MOUSE	 	 	 	 	50.9	910	102087	Staphylococcal nuclease domain-containing protein 1 OS=Mus musculus OX=10090 GN=Snd1 PE=1 SV=1	273	273	1.000	91	89	93	91	89	93	91.000	89.000	93.000
2908	1	sp|Q78RX3|SIM12_MOUSE	 	 	 	 	27.2	92	10795	Small integral membrane protein 12 OS=Mus musculus OX=10090 GN=Smim12 PE=3 SV=1	5	5	1.000	2	1	2	2	1	2	2.000	1.000	2.000
2909	1	sp|Q78T54|VMA21_MOUSE	 	 	 	 	21.8	101	11365	Vacuolar ATPase assembly integral membrane protein Vma21 OS=Mus musculus OX=10090 GN=Vma21 PE=1 SV=1	8	8	1.000	3	4	1	3	4	1	3.000	4.000	1.000
2910	1	sp|Q78XF5|OSTC_MOUSE	 	 	 	 	18.1	149	16815	Oligosaccharyltransferase complex subunit OSTC OS=Mus musculus OX=10090 GN=Ostc PE=1 SV=1	14	14	1.000	5	6	3	5	6	3	5.000	6.000	3.000
2911	1	sp|Q78YY6|DJC15_MOUSE	 	 	sp|Q78YY6|DJC15_MOUSE, sp|Q9CQV7|TIM14_MOUSE	 	18.8	149	15953	DnaJ homolog subfamily C member 15 OS=Mus musculus OX=10090 GN=Dnajc15 PE=1 SV=1	7	3	0.429	4	3	0	2	1	0	2.667	1.400	0.000
2912	1	sp|Q78ZA7|NP1L4_MOUSE	 	 	 	 	21.3	375	42679	Nucleosome assembly protein 1-like 4 OS=Mus musculus OX=10090 GN=Nap1l4 PE=1 SV=1	18	18	1.000	7	6	5	7	6	5	7.000	6.000	5.000
2913	1	sp|Q791T5|MTCH1_MOUSE	 	 	 	 	31.9	389	41565	Mitochondrial carrier homolog 1 OS=Mus musculus OX=10090 GN=Mtch1 PE=1 SV=1	37	37	1.000	12	12	13	12	12	13	12.000	12.000	13.000
2914	1	sp|Q791V5|MTCH2_MOUSE	 	 	 	 	46.2	303	33499	Mitochondrial carrier homolog 2 OS=Mus musculus OX=10090 GN=Mtch2 PE=1 SV=1	74	74	1.000	23	26	25	23	26	25	23.000	26.000	25.000
2915	1	sp|Q7JJ13|BRD2_MOUSE	 	 	sp|Q7JJ13|BRD2_MOUSE, sp|Q91Y44|BRDT_MOUSE, sp|Q9ESU6|BRD4_MOUSE	 	4.0	798	88066	Bromodomain-containing protein 2 OS=Mus musculus OX=10090 GN=Brd2 PE=1 SV=1	8	7	0.875	3	1	4	2	1	4	2.286	1.000	4.000
2916	1	sp|Q7M6Y3|PICAL_MOUSE	 	 	 	 	23.0	660	71543	Phosphatidylinositol-binding clathrin assembly protein OS=Mus musculus OX=10090 GN=Picalm PE=1 SV=1	71	71	1.000	21	27	23	21	27	23	21.000	27.000	23.000
2917	1	sp|Q7M6Z4|KIF27_MOUSE	 	 	sp|Q6P4T2|U520_MOUSE, sp|Q7M6Z4|KIF27_MOUSE, sp|Q7TMQ7|WDR91_MOUSE, sp|Q9QXL2|KI21A_MOUSE	 	1.8	1394	158954	Kinesin-like protein KIF27 OS=Mus musculus OX=10090 GN=Kif27 PE=1 SV=1	7	0	0.000	3	2	2	0	0	0	0.000	0.000	0.000
2918	1	sp|Q7M753|PANK2_MOUSE	 	 	sp|Q7M753|PANK2_MOUSE, sp|Q8K4K6|PANK1_MOUSE, sp|Q8R2W9|PANK3_MOUSE, sp|Q99LJ0|CT2NL_MOUSE	 	9.9	456	50212	Pantothenate kinase 2, mitochondrial OS=Mus musculus OX=10090 GN=Pank2 PE=1 SV=1	11	2	0.182	4	4	3	1	1	0	1.365	1.750	0.500
2919	1	sp|Q7SIG6|ASAP2_MOUSE	 	 	sp|Q7SIG6|ASAP2_MOUSE, sp|Q9QWY8|ASAP1_MOUSE	 	6.4	958	106804	Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 2 OS=Mus musculus OX=10090 GN=Asap2 PE=1 SV=3	11	10	0.909	4	3	4	4	3	3	4.000	3.000	3.600
2921	1	sp|Q7TMC8|FCSK_MOUSE	 	 	 	 	14.1	1090	119266	L-fucose kinase OS=Mus musculus OX=10090 GN=Fcsk PE=1 SV=1	29	29	1.000	12	6	11	12	6	11	12.000	6.000	11.000
2922	1	sp|Q7TMF3|NDUAC_MOUSE	 	 	 	 	77.2	145	17086	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12 OS=Mus musculus OX=10090 GN=Ndufa12 PE=1 SV=2	69	69	1.000	23	23	23	23	23	23	23.000	23.000	23.000
2923	1	sp|Q7TMK6|HOOK2_MOUSE	 	 	 	 	19.0	716	83365	Protein Hook homolog 2 OS=Mus musculus OX=10090 GN=Hook2 PE=1 SV=3	25	25	1.000	5	10	10	5	10	10	5.000	10.000	10.000
2924	1	sp|Q7TMK9|HNRPQ_MOUSE	 	 	sp|Q7TMK9|HNRPQ_MOUSE, tr|Q8VHM5|Q8VHM5_MOUSE	 	46.4	623	69632	Heterogeneous nuclear ribonucleoprotein Q OS=Mus musculus OX=10090 GN=Syncrip PE=1 SV=2	118	89	0.754	39	41	38	28	32	29	34.696	38.261	35.070
2925	1	sp|Q7TMM9|TBB2A_MOUSE	 	 	sp|A2AQ07|TBB1_MOUSE, sp|P68372|TBB4B_MOUSE, sp|P99024|TBB5_MOUSE, sp|Q7TMM9|TBB2A_MOUSE, sp|Q922F4|TBB6_MOUSE, sp|Q9D6F9|TBB4A_MOUSE, sp|Q9ERD7|TBB3_MOUSE	 	59.3	445	49906	Tubulin beta-2A chain OS=Mus musculus OX=10090 GN=Tubb2a PE=1 SV=1	479	35	0.073	164	151	164	13	9	13	55.920	49.963	55.512
2926	1	sp|Q7TMQ7|WDR91_MOUSE	 	 	sp|Q7M6Z4|KIF27_MOUSE, sp|Q7TMQ7|WDR91_MOUSE	 	18.3	748	83420	WD repeat-containing protein 91 OS=Mus musculus OX=10090 GN=Wdr91 PE=1 SV=1	33	30	0.909	11	12	10	10	11	9	11.000	12.000	10.000
2927	1	sp|Q7TMR0|PCP_MOUSE	 	 	 	 	18.1	491	55026	Lysosomal Pro-X carboxypeptidase OS=Mus musculus OX=10090 GN=Prcp PE=1 SV=2	17	17	1.000	4	6	7	4	6	7	4.000	6.000	7.000
2928	1	sp|Q7TMS5|ABCG2_MOUSE	 	 	 	 	13.2	657	72977	Broad substrate specificity ATP-binding cassette transporter ABCG2 OS=Mus musculus OX=10090 GN=Abcg2 PE=1 SV=1	18	18	1.000	6	6	6	6	6	6	6.000	6.000	6.000
2929	1	sp|Q7TMV3|FAKD5_MOUSE	 	 	 	 	4.1	762	86599	FAST kinase domain-containing protein 5, mitochondrial OS=Mus musculus OX=10090 GN=Fastkd5 PE=2 SV=1	10	10	1.000	4	3	3	4	3	3	4.000	3.000	3.000
2930	1	sp|Q7TMW6|CIAO3_MOUSE	 	 	sp|Q7TMW6|CIAO3_MOUSE, sp|Q9CYQ7|NARF_MOUSE	 	24.8	476	53107	Cytosolic iron-sulfur assembly component 3 OS=Mus musculus OX=10090 GN=Ciao3 PE=1 SV=2	23	20	0.870	6	10	7	5	9	6	5.833	10.000	6.857
2931	1	sp|Q7TMX5|SHQ1_MOUSE	 	 	 	 	3.5	569	63457	Protein SHQ1 homolog OS=Mus musculus OX=10090 GN=Shq1 PE=1 SV=2	2	2	1.000	2	0	0	2	0	0	2.000	0.000	0.000
2932	1	sp|Q7TMY4|THOC7_MOUSE	 	 	 	 	13.7	204	23715	THO complex subunit 7 homolog OS=Mus musculus OX=10090 GN=Thoc7 PE=1 SV=2	5	5	1.000	4	0	1	4	0	1	4.000	0.000	1.000
2933	1	sp|Q7TMY7|IPO8_MOUSE	 	 	sp|Q7TMY7|IPO8_MOUSE, sp|Q9EPL8|IPO7_MOUSE	 	9.6	1010	117076	Importin-8 OS=Mus musculus OX=10090 GN=Ipo8 PE=1 SV=3	20	17	0.850	6	8	6	5	7	5	5.185	7.200	5.156
2934	1	sp|Q7TMY8|HUWE1_MOUSE	 	 	 	 	15.6	4377	482629	E3 ubiquitin-protein ligase HUWE1 OS=Mus musculus OX=10090 GN=Huwe1 PE=1 SV=5	168	168	1.000	55	56	57	55	56	57	55.000	56.000	57.000
2935	1	sp|Q7TN29|SMAP2_MOUSE	 	 	 	 	30.6	428	46577	Stromal membrane-associated protein 2 OS=Mus musculus OX=10090 GN=Smap2 PE=1 SV=1	39	39	1.000	15	11	13	15	11	13	15.000	11.000	13.000
2936	1	sp|Q7TNC4|LC7L2_MOUSE	 	 	sp|Q7TNC4|LC7L2_MOUSE, sp|Q9CYI4|LUC7L_MOUSE	 	31.9	392	46582	Putative RNA-binding protein Luc7-like 2 OS=Mus musculus OX=10090 GN=Luc7l2 PE=1 SV=1	40	27	0.675	13	13	14	10	9	8	12.000	11.571	12.000
2937	1	sp|Q7TNC9|I5P1_MOUSE	 	 	 	 	10.4	412	47622	Inositol polyphosphate-5-phosphatase A OS=Mus musculus OX=10090 GN=Inpp5a PE=1 SV=1	11	11	1.000	4	3	4	4	3	4	4.000	3.000	4.000
2938	1	sp|Q7TNE1|SUCHY_MOUSE	 	 	 	 	21.3	436	47690	Succinate--hydroxymethylglutarate CoA-transferase OS=Mus musculus OX=10090 GN=Sugct PE=1 SV=2	18	18	1.000	6	7	5	6	7	5	6.000	7.000	5.000
2939	1	sp|Q7TNG5|EMAL2_MOUSE	 	 	 	 	14.3	649	70733	Echinoderm microtubule-associated protein-like 2 OS=Mus musculus OX=10090 GN=Eml2 PE=1 SV=1	19	19	1.000	5	4	10	5	4	10	5.000	4.000	10.000
2940	1	sp|Q7TNG8|LDHD_MOUSE	 	 	 	 	50.8	484	51847	Probable D-lactate dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Ldhd PE=1 SV=1	105	105	1.000	40	32	33	40	32	33	40.000	32.000	33.000
2941	1	sp|Q7TNP2|2AAB_MOUSE	 	 	sp|Q76MZ3|2AAA_MOUSE, sp|Q7TNP2|2AAB_MOUSE	 	24.1	601	65934	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform OS=Mus musculus OX=10090 GN=Ppp2r1b PE=1 SV=2	37	13	0.351	13	13	11	3	6	4	4.000	7.167	4.757
2942	1	sp|Q7TNV0|DEK_MOUSE	 	 	 	 	31.8	380	43158	Protein DEK OS=Mus musculus OX=10090 GN=Dek PE=1 SV=1	45	45	1.000	18	16	11	18	16	11	18.000	16.000	11.000
2943	1	sp|Q7TPD0|INT3_MOUSE	 	 	 	 	6.1	1041	117936	Integrator complex subunit 3 OS=Mus musculus OX=10090 GN=Ints3 PE=1 SV=2	14	14	1.000	5	4	5	5	4	5	5.000	4.000	5.000
2944	1	sp|Q7TPD2|F185A_MOUSE	 	 	 	 	13.2	378	39992	Protein FAM185A OS=Mus musculus OX=10090 GN=Fam185a PE=2 SV=1	6	6	1.000	3	1	2	3	1	2	3.000	1.000	2.000
2945	1	sp|Q7TPE5|S7A6O_MOUSE	 	 	 	 	19.3	306	35041	Probable RNA polymerase II nuclear localization protein SLC7A6OS OS=Mus musculus OX=10090 GN=Slc7a6os PE=1 SV=1	10	10	1.000	5	2	3	5	2	3	5.000	2.000	3.000
